DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC41324,105786.0,WOODSIDE FRIENDS AT CLC,GCC,PRESCHOOL,3357 58TH ST,QUEENS,11377,(718) 205-1425,2 YEARS - 5 YEARS,54,No,4437084.0,4011820015.0,402.0,25.0,25700.0,QN63,40.752587803931,-73.903237800421
DC2487,,ST. KEVIN CATHOLIC ACADEMY,SBCC,PRESCHOOL,45-50 195 STREET,QUEENS,11358,(718) 357-8110,3 YEARS - 5 YEARS,70,No,4438234.0,4055360041.0,411.0,19.0,145101.0,QN48,40.75480656283,-73.786292199289
DC21699,63298.0,"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",GCC,INFANT TODDLER,300 WEST 145TH STREET,MANHATTAN,10039,(212) 862-2273,0 YEARS - 2 YEARS,16,No,1060788.0,1020447501.0,110.0,9.0,25900.0,MN03,40.822885116503,-73.942070448103
DC25738,,OHOLEI TORAH EDUCATIONAL INSTITUTE,SBCC,PRESCHOOL,667 EASTERN PKWY.,BROOKLYN,11213,(718) 778-3340,2 YEARS - 5 YEARS,NO DATA,No,3032753.0,3012630041.0,308.0,35.0,33700.0,BK61,40.669616800461,-73.94598913149
DC10454,3050.0,THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH COMMUNITY COLLEGE,GCC,PRESCHOOL,1915 ORIENTAL BOULEVARD,BROOKLYN,11235,(718) 368-5439,2 YEARS - 5 YEARS,38,No,3326936.0,3087600060.0,315.0,48.0,61600.0,BK17,40.578489925307,-73.935321084959
DC1531,7555.0,ST.MARY'S HOSPITAL FOR CHILDREN,GCC,PRESCHOOL,29-01 216 STREET,QUEENS,11360,(718) 281-8501,2 YEARS - 5 YEARS,88,No,4134830.0,4060590001.0,411.0,19.0,109300.0,QN46,40.776483842369,-73.770209223371
DC37718,105547.0,Learn and Explore SI LLC,GCC,PRESCHOOL,241 NEW DORP LANE,STATEN ISLAND,10306,(718) 667-4701,2 YEARS - 5 YEARS,120,No,5052592.0,5036370006.0,502.0,50.0,12200.0,SI45,40.572816228387,-74.11413865624
DC35113,,A PLUS KIDZ ACADEMY,SBCC,PRESCHOOL,10510 FLATLANDS AVENUE,BROOKLYN,11236,(718) 679-0052,3 YEARS - 5 YEARS,NO DATA,No,3398452.0,3082130038.0,318.0,46.0,98400.0,BK50,40.647614506569,-73.894522120739
DC329,4235.0,HAWTHORNE CORNERS DAY CARE CENTER INC.,GCC,PRESCHOOL,1950 BEDFORD AVENUE,BROOKLYN,11225,(718) 282-7200,2 YEARS - 5 YEARS,55,No,3115676.0,3050450051.0,309.0,40.0,79601.0,BK60,40.65733292152,-73.956559257182
DC32060,,JEWISH INSTITUTE OF QUEENS PRESCHOOL,SBCC,PRESCHOOL,64-41 UTOPIA PKWY.,QUEENS,11365,(718) 480-0100,3 YEARS - 5 YEARS,NO DATA,No,4152874.0,4070830001.0,408.0,24.0,134100.0,QN41,40.737230439825,-73.793035326407
DC11877,7304.0,THE SALVATION  ARMY TREMONT DAY CARE  CENTER,GCC,PRESCHOOL,2121 WASHINGTON AVENUE,BRONX,10457,(718) 563-1530,2 YEARS - 5 YEARS,33,No,2115960.0,2030370015.0,206.0,15.0,39500.0,BX01,40.8520065966,-73.895266711504
DC10479,4506.0,JACK & JILL,GCC,PRESCHOOL,43-23 COLDEN STREET,QUEENS,11355,(718) 762-1218,2 YEARS - 5 YEARS,132,No,4115898.0,4051370005.0,407.0,20.0,79701.0,QN22,40.752528063432,-73.824980649035
DC39888,105576.0,Two Steps Ahead Day Care Inc,GCC,PRESCHOOL,32 HANCOCK ST,STATEN ISLAND,10305,(929) 269-7159,2 YEARS - 5 YEARS,17,No,5169535.0,5033410009.0,502.0,50.0,9602.0,SI36,40.589286212711,-74.094731635767
DC21749,8285.0,"READY, SET, GROW!",GCC,INFANT TODDLER,136-16 31 ROAD,QUEENS,11354,(718) 888-7871,0 YEARS - 2 YEARS,8,No,4538066.0,4044097503.0,407.0,20.0,88901.0,QN22,40.769396248068,-73.831560935897
DC21823,8344.0,"CENTER OF EXCELLENCE SPRINGFIELD GARDENS, INC.",GCC,PRESCHOOL,127-08 MERRICK BLVD.,QUEENS,11434,(718) 276-8200,2 YEARS - 5 YEARS,132,No,4270315.0,4125280105.0,412.0,27.0,33401.0,QN08,40.681314622852,-73.764971601019
DC2399,7280.0,KIDDIE ACADEMY DAYCARE CENTER OF STATEN ISLAND,GCC,PRESCHOOL,1110 SOUTH AVENUE,STATEN ISLAND,10314,(718) 698-6905,2 YEARS - 5 YEARS,177,No,5141913.0,5017250550.0,502.0,50.0,29102.0,SI05,40.612332153498,-74.175539992301
DC22667,20917.0,STEPS TO SUCCESS III,GCC,PRESCHOOL,1810 VOORHIES AVENUE,BROOKLYN,11235,(718) 758-5558,2 YEARS - 5 YEARS,116,No,3397124.0,3087720003.0,315.0,48.0,60000.0,BK17,40.586032094972,-73.950852566673
DC12118,,BEIKVEI HATZOIN  SCHOOL,SBCC,PRESCHOOL,31 DIVISION AVENUE,BROOKLYN,11249,(718) 486-6363,2 YEARS - 5 YEARS,NO DATA,No,3424192.0,3021590002.0,301.0,33.0,54700.0,BK73,40.706910034183,-73.96787392646
DC38629,105040.0,GENERATION 21 NY INC.,GCC,PRESCHOOL,6709 19TH AVE,BROOKLYN,11204,(718) 621-9321,2 YEARS - 5 YEARS,65,No,3134705.0,3055700006.0,311.0,43.0,25600.0,BK28,40.616561436636,-73.989381499787
DC1202,6923.0,STATEN ISLAND EARLY CHILDHOOD CENTER,GCC,PRESCHOOL,467 ST MARKS PLACE,STATEN ISLAND,10301,(718) 447-7726,2 YEARS - 5 YEARS,70,No,5000044.0,5000060002.0,501.0,49.0,300.0,SI22,40.638656135649,-74.077182675049
DC14187,5820.0,"TRIBECA NURSERY CENTER, INC.",GCC,PRESCHOOL,40 WORTH STREET,MANHATTAN,10013,(212) 374-1489,2 YEARS - 5 YEARS,64,No,1001622.0,1001487501.0,101.0,1.0,3300.0,MN24,40.717445993892,-74.00710298366
DC2418,5627.0,FIFTH AVENUE SYNAGOGUE,GCC,PRESCHOOL,5 EAST 62 STREET,MANHATTAN,10065,(212) 750-8793,2 YEARS - 5 YEARS,40,No,1040886.0,1013770007.0,108.0,4.0,11401.0,MN40,40.765956280399,-73.971195456149
DC26132,54157.0,PLAYMATES NURSERY,GCC,PRESCHOOL,131-15 LIBERTY AVENUE,QUEENS,11419,(718) 845-4973,2 YEARS - 5 YEARS,24,No,4204047.0,4095680044.0,410.0,29.0,15801.0,QN55,40.690172522918,-73.81463366037801
DC42743,,BR,SBCC,PRESCHOOL,297 RUTLEDGE STREET,BROOKLYN,11211,(718) 963-9292,3 YEARS - 5 YEARS,NO DATA,No,3060902.0,3022200038.0,301.0,33.0,52900.0,BK72,40.704796846063,-73.952824106764
DC3074,6917.0,"GSUC CHILD DEVELOPMENT AND LEARNING CENTER, INC.",GCC,PRESCHOOL,365 FIFTH AVENUE,MANHATTAN,10016,(212) 817-7032,2 YEARS - 5 YEARS,27,No,1017097.0,1008647502.0,105.0,4.0,7400.0,MN17,40.748815051057,-73.984267881495
DC2388,5601.0,STEPPING STONE OF SOUTH EASTERN QUEENS INC,GCC,PRESCHOOL,114-38 FRANCIS LEWIS BOULEVARD,QUEENS,11411,(718) 465-2344,2 YEARS - 5 YEARS,26,No,4236999.0,4110230038.0,412.0,27.0,53200.0,QN34,40.700574846815,-73.748201717923
DC42328,106155.0,"URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY, INC",GCC,INFANT TODDLER,123 EAST 110 STREET,MANHATTAN,10029,(646) 452-0761,0 YEARS - 2 YEARS,30,No,1087922.0,1016380008.0,111.0,8.0,17200.0,MN33,40.795126281896,-73.945182642736
DC170,4297.0,"BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER, INC.",GCC,PRESCHOOL,262 LEXINGTON AVENUE,BROOKLYN,11216,(718) 453-0760,2 YEARS - 5 YEARS,40,No,3050588.0,3018020051.0,303.0,36.0,24300.0,BK75,40.687589344757,-73.951574302937
DC40552,105605.0,BRIGHT FUTURE KIDDIE 4,GCC,INFANT TODDLER,3952 THIRD AVENUE,BRONX,10457,(347) 963-4073,0 YEARS - 2 YEARS,24,No,2119684.0,2029297501.0,203.0,15.0,16700.0,BX01,40.840515407754,-73.899484466055
DC1983,4727.0,"KINGSBRIDGE HEIGHTS  COMMUNITY CENTER, INC.",GCC,PRESCHOOL,3101 KINGSBRIDGE TERRACE,BRONX,10463,(718) 884-0700,2 YEARS - 5 YEARS,64,No,2015788.0,2032570111.0,208.0,14.0,27700.0,BX28,40.877498663231,-73.900328755605
DC26168,72820.0,BROOKLYN STAR DAYCARE INC.,GCC,PRESCHOOL,2175 EAST 22ND STREET,BROOKLYN,11229,(718) 934-0075,2 YEARS - 5 YEARS,62,No,3199915.0,3073550053.0,315.0,48.0,57600.0,BK44,40.598223713185,-73.949179923415
DC371,4515.0,"BUSHWICK IMPROVEMENT SOCIETY, INC.",GCC,PRESCHOOL,77-83 STAGG STREET,BROOKLYN,11206,(718) 388-1395,2 YEARS - 5 YEARS,55,No,3070819.0,3030230032.0,301.0,34.0,51100.0,BK90,40.709122997742,-73.947417814553
DC24706,27418.0,"GRAND ST. SETTLEMENT, INC.",GCC,PRESCHOOL,60 ESSEX STREET,MANHATTAN,10002,(212) 677-6990,2 YEARS - 5 YEARS,57,No,1083429.0,1003510001.0,103.0,1.0,1800.0,MN27,40.717003777367,-73.988986660888
DC42753,106539.0,LITTLE BRILLIANT MINDS INC,GCC,PRESCHOOL,6107 20 AVENUE,BROOKLYN,11204,(718) 234-6463,2 YEARS - 5 YEARS,41,No,3132598.0,3055280007.0,311.0,43.0,24600.0,BK88,40.618679727351,-73.983592669782
DC1829,6833.0,"NORTHEAST BRONX DAY CARE CENTER, INC.",GCC,PRESCHOOL,5401 POST ROAD,BRONX,10471,(718) 601-5401,2 YEARS - 5 YEARS,194,No,2084657.0,2058422002.0,208.0,11.0,34500.0,BX22,40.901348115362,-73.897843853207
DC42821,106152.0,LITTLE STARS CHILDCARE PROGRAM 5 CORP.,GCC,INFANT TODDLER,4435 WHITE PLAINS  ROAD,BRONX,10470,(347) 912-6683,0 YEARS - 2 YEARS,30,No,2129638.0,2050690045.0,212.0,11.0,41400.0,BX62,40.899156821189,-73.853712429309
DC25014,49237.0,THE GODDARD SCHOOL,GCC,INFANT TODDLER,2495 BROADWAY,MANHATTAN,10025,(212) 712-2727,0 YEARS - 2 YEARS,44,No,1087656.0,1012400052.0,107.0,6.0,17900.0,MN12,40.792580899961,-73.973296615981
DC41712,105825.0,"B'ABOVE WORLDWIDE INSTITUTE, INC.",GCC,INFANT TODDLER,63-47 BOOTH STREET,QUEENS,11374,(718) 831-2003,0 YEARS - 2 YEARS,10,No,4072109.0,4030817501.0,406.0,30.0,69300.0,QN18,40.728987115251,-73.864153864353
DC3040,4851.0,"FORT GEORGE COMMUNITY SERVICES, INC.",GCC,PRESCHOOL,1525 ST NICHOLAS AVENUE,MANHATTAN,10033,(646) 666-0772,2 YEARS - 5 YEARS,123,No,1063981.0,1021660082.0,112.0,10.0,27100.0,MN35,40.85262391818,-73.931323047736
DC3010,7543.0,YOUNG MEN’S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,GCC,PRESCHOOL,3939 RICHMOND AVENUE,STATEN ISLAND,10312,(718) 227-3200,2 YEARS - 5 YEARS,112,No,5128445.0,5052360031.0,503.0,51.0,15601.0,SI54,40.542097589697,-74.163075117497
DC37177,104671.0,HELEN KELLER SERVICES FOR THE BLIND,GCC,PRESCHOOL,180 LIVINGSTON STREET,BROOKLYN,11201,(718) 522-2122,2 YEARS - 5 YEARS,75,No,3000484.0,3001647501.0,302.0,33.0,3700.0,BK38,40.690044411028,-73.98683839769
DC20623,8138.0,"HAPPY DRAGON OF NEW YORK, INC.",GCC,PRESCHOOL,5805 7TH AVENUE,BROOKLYN,11220,(718) 439-8816,2 YEARS - 5 YEARS,135,No,3016180.0,3008587501.0,307.0,43.0,10400.0,BK34,40.637852717374,-74.010668741396
DC39966,105271.0,NY KIDS CLUB,GCC,PRESCHOOL,401 EAST   55 STREET,MANHATTAN,10022,(917) 363-8153,2 YEARS - 5 YEARS,45,No,1040460.0,1013670001.0,106.0,4.0,10601.0,MN19,40.756951356844,-73.963731196701
DC38244,105030.0,BRIGHT HORIZONS AT WEST 14TH,GCC,PRESCHOOL,255 WEST 14 STREET,MANHATTAN,10011,(332) 255-8503,2 YEARS - 5 YEARS,61,No,1013712.0,1007640007.0,104.0,3.0,8100.0,MN13,40.739195731545,-74.001198051465
DC19577,8009.0,"PROMISE WORLD DAY CARE,INC.",GCC,PRESCHOOL,1968 OCEAN AVENUE,BROOKLYN,11230,(718) 743-2828,2 YEARS - 5 YEARS,55,No,3181619.0,3067570046.0,314.0,48.0,54600.0,BK43,40.614186774696,-73.954224658777
DC43284,106265.0,KIDDIO DAYCARE INC.,GCC,PRESCHOOL,4815 14 AVENUE,BROOKLYN,11219,(718) 799-4200,2 YEARS - 5 YEARS,24,No,3137492.0,3056367504.0,312.0,44.0,23400.0,BK88,40.634106102272,-73.989468769483
DC37820,104906.0,"BEAUTIFUL MINDS CHILDCARE, INC.",GCC,PRESCHOOL,6202 MYRTLE AVE,QUEENS,11385,(347) 987-3270,2 YEARS - 5 YEARS,64,No,4437849.0,4035930001.0,405.0,30.0,57700.0,QN19,40.700886693371,-73.893211297136
DC25995,73738.0,THE PURPLE CRAYON,GCC,PRESCHOOL,1520 86TH  STREET,BROOKLYN,11228,(718) 232-1936,2 YEARS - 5 YEARS,28,No,3166172.0,3063600045.0,311.0,50.0,17200.0,BK27,40.611099450168,-74.009032907458
DC36827,104552.0,LUMINOUS MORRIS LLC,GCC,INFANT TODDLER,655 MORRIS AVENUE,BRONX,10451,(718) 682-3650,0 YEARS - 2 YEARS,68,No,2127027.0,2024410200.0,201.0,17.0,6500.0,BX34,40.819623295709,-73.921750353814
DC11067,6385.0,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC.,GCC,PRESCHOOL,30 EAST 111 STREET,MANHATTAN,10029,(212) 860-7201,2 YEARS - 5 YEARS,87,No,1085254.0,1016160001.0,111.0,9.0,17402.0,MN33,40.797062564719,-73.947832058084
DC40546,105596.0,Maven Valley Prep,GCC,INFANT TODDLER,348 13TH STREET,BROOKLYN,11215,(347) 335-0000,0 YEARS - 2 YEARS,38,No,3023511.0,3010360019.0,306.0,39.0,14900.0,BK37,40.665225942026,-73.985145560452
DC10865,,ADELPHI ACADEMY OF BROOKLYN,SBCC,PRESCHOOL,8515 RIDGE BLVD,BROOKLYN,11209,(718) 238-3308,2 YEARS - 5 YEARS,15,No,3328998.0,3060330001.0,310.0,47.0,6200.0,BK31,40.624739240291,-74.033469681894
DC2470,,Sacred Heart Catholic Academy of Glendale,SBCC,PRESCHOOL,84-05 78 AVENUE,QUEENS,11385,(718) 456-6636,3 YEARS - 5 YEARS,42,No,4443218.0,4038400024.0,405.0,32.0,63500.0,QN19,40.705676658808,-73.864904870939
DC24552,24878.0,ALL MY CHILDREN DAY CARE AND NURSERY 11,GCC,PRESCHOOL,317 ROGERS AVENUE,BROOKLYN,11225,(929) 234-2320,2 YEARS - 5 YEARS,90,No,3034153.0,3012960001.0,309.0,35.0,32100.0,BK63,40.665675915867,-73.95366652098
DC43045,106189.0,AVENUES NEW YORK LLC,GCC,PRESCHOOL,259 10 AVENUE,MANHATTAN,10001,(646) 664-0822,2 YEARS - 5 YEARS,68,No,1012384.0,1006970031.0,104.0,3.0,9900.0,MN13,40.749057624404,-74.003183248261
DC43888,,BAIS BROCHO D KARLIN STOLIN,SBCC,PRESCHOOL,4310 10 AVENUE,BROOKLYN,11219,(718) 853-1222,3 YEARS - 5 YEARS,NO DATA,No,3136035.0,3056010040.0,312.0,38.0,11200.0,BK34,40.642250260756,-73.995366123234
DC40659,105583.0,AGUDATH CHASIDEI SPINKA,GCC,PRESCHOOL,5801 15 AVENUE,BROOKLYN,11219,(718) 851-1600,2 YEARS - 5 YEARS,99,No,3131335.0,3055020008.0,312.0,44.0,24200.0,BK88,40.627230693501,-73.993039947572
DC31717,96099.0,"BABY STEPS DAYCARE CENTER II, LLC",GCC,PRESCHOOL,112-12 76 ROAD,QUEENS,11375,(347) 960-8334,2 YEARS - 5 YEARS,58,No,4311398.0,4022660090.0,406.0,29.0,75701.0,QN17,40.71738180819,-73.834578822475
DC21577,8320.0,BAM BAM'S PLAYHOUSE INFANT/TODDLER,GCC,INFANT TODDLER,714 BANNER AVENUE,BROOKLYN,11235,(718) 332-3974,0 YEARS - 2 YEARS,10,No,3196537.0,3072640045.0,313.0,48.0,36600.0,BK19,40.583365260231,-73.960816115196
DC10897,7019.0,"MONTESSORI PROGRESSIVE LEARNING CENTER, INC.",GCC,PRESCHOOL,195-05 LINDEN BOULEVARD,QUEENS,11412,(718) 723-3967,2 YEARS - 5 YEARS,135,No,4238357.0,4110670040.0,412.0,27.0,52800.0,QN08,40.693415946782,-73.756869111991
DC18006,7919.0,CHAI TOTS PRESCHOOL  OF WINDSOR TERRACE (PRESCHOOL ),GCC,PRESCHOOL,1266 PROSPECT AVENUE,BROOKLYN,11218,(718) 633-3979,2 YEARS - 5 YEARS,29,No,3122470.0,3052740033.0,307.0,39.0,50202.0,BK40,40.652381574253,-73.976016211995
DC24843,38797.0,THE HUDSON GUILD,GCC,PRESCHOOL,410 WEST 40TH STREET,MANHATTAN,10018,(646) 438-5531,2 YEARS - 5 YEARS,62,No,1013005.0,1007370043.0,104.0,3.0,11500.0,MN15,40.757393358084,-73.994192188336
DC1493,1483.0,"EAST CALVARY DAY CARE CENTER, INC.",GCC,PRESCHOOL,1 WEST 112 STREET,MANHATTAN,10026,(212) 534-5249,2 YEARS - 5 YEARS,50,No,1083309.0,1015960001.0,110.0,9.0,18600.0,MN11,40.798152469774,-73.948362134919
DC22778,,BNOS SPINKA BOYS SCHOOL,SBCC,PRESCHOOL,799 KENT  AVENUE,BROOKLYN,11205,(718) 254-8005,3 YEARS - 5 YEARS,NO DATA,No,3054201.0,3018840010.0,303.0,33.0,123700.0,BK75,40.696957716655,-73.959872767714
DC21529,,TALMUD TORAH OHEL YOCHANAN,SBCC,PRESCHOOL,1325 38 ST,BROOKLYN,11218,(718) 431-2991,NO DATA,155,No,3000000.0,3053000062.0,312.0,39.0,22600.0,BK88,40.640758955067,-73.984992485372
DC32877,103603.0,LA ESCUELITA DE SOFIA INC.,GCC,PRESCHOOL,5720 MOSHOLU AVENUE,BRONX,10471,(917) 952-5872,2 YEARS - 5 YEARS,21,No,2096965.0,2058552237.0,208.0,11.0,34500.0,BX22,40.905620427832,-73.899584591784
DC21693,8307.0,FRIENDS AND FAMILY DAY CARE,GCC,PRESCHOOL,1677 LEXINGTON AVENUE,MANHATTAN,10029,(212) 534-7160,2 YEARS - 5 YEARS,44,No,1088165.0,1016330020.0,111.0,8.0,17200.0,MN33,40.79173994177,-73.946630021167
DC20927,,SAINT STANISLAUS KOSTKA CATHOLIC ACADEMY,SBCC,PRESCHOOL,12 NEWELL STREET,BROOKLYN,11222,(929) 205-1240,3 YEARS - 5 YEARS,NO DATA,No,3066952.0,3026840042.0,301.0,33.0,57100.0,BK76,40.723370694008,-73.946555105687
DC12134,,Ebenezer Preparatory School /Ebenezer Preparatory School,SBCC,PRESCHOOL,5464 KINGS HIGHWAY,BROOKLYN,11203,(718) 629-4231,3 YEARS - 5 YEARS,NO DATA,No,3222149.0,3079290056.0,317.0,45.0,84600.0,BK96,40.642028463675,-73.925436622408
DC11009,5085.0,QUEENS CENTER FOR PROGRESS,GCC,PRESCHOOL,82-25 164 STREET,QUEENS,11432,(718) 374-0002,2 YEARS - 5 YEARS,105,No,4152348.0,4070380020.0,408.0,24.0,126700.0,QN38,40.718538172133,-73.803760900685
DC1706,5481.0,"CORTELYOU EARLY CHILDHOOD CENTER, INC.",GCC,PRESCHOOL,1110 CORTELYOU ROAD,BROOKLYN,11218,(718) 282-6077,2 YEARS - 5 YEARS,66,No,3118607.0,3051540005.0,314.0,40.0,52600.0,BK42,40.63972335176,-73.967719032111
DC19673,,UNITED TALMUDICAL ACADEMY,SBCC,PRESCHOOL,590 BEDFORD AVENUE,BROOKLYN,11249,(718) 963-9260,3 YEARS - 5 YEARS,NO DATA,No,3060113.0,3021920050.0,301.0,33.0,53900.0,BK72,40.703534399051,-73.960474711158
DC12247,6460.0,"BIRCH FAMILY SERVICES, INC.",GCC,PRESCHOOL,475 EAST 57 STREET,BROOKLYN,11203,(718) 451-5213,2 YEARS - 5 YEARS,164,No,3221961.0,3079150010.0,317.0,45.0,94600.0,BK96,40.643882144171,-73.922731981363
DC34440,104372.0,NASRY MICHELEN DAY CARE CENTER INC.,GCC,PRESCHOOL,415 WEST 150  STREET,MANHATTAN,10031,(917) 261-6623,2 YEARS - 5 YEARS,72,No,1061578.0,1020650022.0,109.0,9.0,23501.0,MN04,40.827538033905,-73.943233509486
DC20651,,ATERET TORAH CENTER,SBCC,PRESCHOOL,2166 CONEY ISLAND AVENUE,BROOKLYN,11223,(718) 375-7100,3 YEARS - 5 YEARS,NO DATA,No,3394079.0,3066850034.0,315.0,48.0,41600.0,BK25,40.604192992985,-73.961653742607
DC3031,1938.0,PRINCE HALL COLONIAL PARK DAY CARE CENTER,GCC,PRESCHOOL,159-30 HARLEM RIVER DRIVE,MANHATTAN,10039,(212) 281-1444,2 YEARS - 5 YEARS,30,No,1084184.0,1021060320.0,110.0,9.0,24302.0,MN03,40.833108488196,-73.935444822549
DC40353,105648.0,HONEYDEW CORTELYOU,GCC,INFANT TODDLER,1035 CORTELYOU RD,BROOKLYN,11218,(646) 678-9096,0 YEARS - 2 YEARS,36,No,3118198.0,3051417502.0,314.0,39.0,152200.0,BK42,40.63941065045,-73.968450627873
DC33552,105086.0,LITTLE SPROUT PRESCHOOL INC.,GCC,PRESCHOOL,435 KINGS HIGHWAY,BROOKLYN,11223,(718) 339-8121,2 YEARS - 5 YEARS,71,No,3177088.0,3066560043.0,311.0,44.0,41200.0,BK29,40.604363844882,-73.973782732328
DC1280,1709.0,"HAMILTON MADISON HOUSE, INC.",GCC,PRESCHOOL,60 CATHERINE STREET,MANHATTAN,10038,(212) 962-3408,2 YEARS - 5 YEARS,38,No,1077421.0,1001110100.0,103.0,1.0,2500.0,MN27,40.711558641453,-73.996840191982
DC753,,BAMBI EARLY CHILDHOOD EDUCATIONAL CENTER,SBCC,PRESCHOOL,1981 HOMECREST AVENUE,BROOKLYN,11229,(718) 645-7010,3 YEARS - 5 YEARS,90,No,3196710.0,3072910134.0,315.0,48.0,55600.0,BK25,40.60143930967,-73.959725132592
DC38367,105306.0,ADAPT COMMUNITY NETWORK,GCC,PRESCHOOL,63-25 DRY HARBOR ROAD,QUEENS,11379,(718) 639-9750,2 YEARS - 5 YEARS,112,No,4069277.0,4029930012.0,405.0,30.0,66300.0,QN21,40.721480335213,-73.873913432987
DC41244,105737.0,Little Berries II Inc.,GCC,PRESCHOOL,8223 BAY PKWY,BROOKLYN,11214,(917) 708-9888,2 YEARS - 5 YEARS,23,No,3164784.0,3063190001.0,311.0,43.0,29600.0,BK28,40.604026186726,-73.991623481568
DC40875,105887.0,HIGH FIVE EARLY CHILDHOOD CENTER INC.,GCC,INFANT TODDLER,50-11 QUEENS BOULEVARD,QUEENS,11377,(718) 954-3402,0 YEARS - 2 YEARS,40,No,4618650.0,4013190021.0,402.0,26.0,25302.0,QN31,40.742710317529,-73.914775041626
DC1211,7394.0,ADVENTURELAND CHILD CARE CENTER INC.,GCC,INFANT TODDLER,41-31 58 STREET,QUEENS,11377,(718) 274-4769,0 YEARS - 2 YEARS,15,No,4031249.0,4013320044.0,402.0,26.0,24900.0,QN63,40.743972327248,-73.906960260018
DC25005,,AL-IMAN SCHOOL,SBCC,PRESCHOOL,137-11 90 AVENUE,QUEENS,11435,(516) 302-4950,3 YEARS - 5 YEARS,NO DATA,No,4213652.0,4099700038.0,412.0,24.0,21200.0,QN61,40.70077060731,-73.814939484245
DC81,,BARKAI YESHIVAH,SBCC,PRESCHOOL,5302 21 AVENUE,BROOKLYN,11204,(718) 998-7473,2 YEARS - 5 YEARS,NO DATA,No,3131092.0,3054951138.0,312.0,44.0,46400.0,BK88,40.622021709204,-73.976844869306
DC42973,106212.0,BEANSTALK CHILD CARE ACADEMY,GCC,INFANT TODDLER,1778 SOUTHERN BOULEVARD,BRONX,10460,(718) 589-5900,0 YEARS - 2 YEARS,40,No,2119434.0,2029847501.0,203.0,15.0,16100.0,BX75,40.838297216962,-73.88718220268
DC20591,8203.0,SUNSHINE NURSERY AND DAY CARE CENTER   I/T,GCC,INFANT TODDLER,580 GATES AVENUE,BROOKLYN,11221,(718) 452-9740,0 YEARS - 2 YEARS,16,No,3051226.0,3018150038.0,303.0,36.0,26500.0,BK75,40.687140460238,-73.942423207627
DC41420,105939.0,PETITS POUSSINS UES LLC,GCC,PRESCHOOL,1439 1ST AVE,MANHATTAN,10021,(917) 825-8763,2 YEARS - 5 YEARS,24,No,1044935.0,1014497501.0,108.0,5.0,13400.0,MN31,40.769612454545,-73.954684224859
DC2737,6942.0,BLOOMINGDALE FRIENDS INC.,GCC,PRESCHOOL,610 BLOOMINGDALE ROAD,STATEN ISLAND,10309,(718) 984-5194,NO DATA,43,No,5086672.0,5070910001.0,503.0,51.0,22600.0,SI11,40.540428378971,-74.217714763285
DC15159,7724.0,BEANSPROUTS,GCC,PRESCHOOL,421 7TH STREET,BROOKLYN,11215,(718) 965-8573,2 YEARS - 5 YEARS,55,No,3332310.0,3009950072.0,306.0,39.0,15300.0,BK37,40.668892544007,-73.982192433634
DC43836,,YESHIVA KETANA OF STATEN ISLAND,SBCC,PRESCHOOL,2734 VICTORY BOULEVARD,STATEN ISLAND,10314,(347) 205-7504,3 YEARS - 5 YEARS,NO DATA,No,5035098.0,5020850009.0,502.0,50.0,27301.0,SI05,40.60897509781,-74.152683030677
DC18862,7909.0,NORTHERN MANHATTAN PERINATAL PARTNERSHIP INC.,GCC,PRESCHOOL,529-531 WEST 155TH STREET,MANHATTAN,10032,(212) 926-8264,2 YEARS - 5 YEARS,95,No,1084190.0,1021140058.0,112.0,10.0,24100.0,MN36,40.831973878047,-73.94393437024
DC10735,7093.0,"LIBERTY DAY CARE SERVICE, INC.",GCC,PRESCHOOL,478 EAST 95 STREET,BROOKLYN,11212,(718) 498-4384,2 YEARS - 5 YEARS,32,No,3102590.0,3046910028.0,317.0,41.0,88800.0,BK96,40.655837248133,-73.91713899038
DC32663,95577.0,GIFTED AND TALENTED EARLY DEVELOPERS LLC,GCC,PRESCHOOL,1019 CHURCH AVENUE,BROOKLYN,11218,(718) 942-5381,2 YEARS - 5 YEARS,19,No,3116329.0,3050710041.0,314.0,40.0,50600.0,BK42,40.646706708046,-73.970047148565
DC33698,,MAKING A DIFFERENCE ACADEMY,SBCC,PRESCHOOL,670 ROCKAWAY PARKWAY,BROOKLYN,11236,(718) 484-8110,3 YEARS - 5 YEARS,NO DATA,No,3228408.0,3081140038.0,317.0,42.0,92800.0,BK96,40.652736375581,-73.910799999707
DC41348,105785.0,WOODSIDE FRIENDS,GCC,PRESCHOOL,60-10 ROOSEVELT AVENUE,QUEENS,11377,(347) 354-0266,2 YEARS - 5 YEARS,90,No,4030038.0,4012930007.0,402.0,26.0,25900.0,QN63,40.74548792283,-73.904215346196
